pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_masse,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_imppar,st_teff,st_rad,st_mass,st_lum,st_logg,releasedate
0,261.20000000,0.770000,,,,0.320000,,,,5250.00,0.96,0.90,-0.197,4.42,2014-05-14
0,259.88000000,0.770800,,,,0.080000,,,,5172.00,0.94,0.91,,4.43,2021-02-11
0,260.91000000,0.773300,,47.00510,,0.080000,,,,5250.00,0.96,0.90,-0.197,4.42,2014-08-21
0,262.00000000,0.788000,,44.81200,,0.305000,,,,,,0.95,,,2014-10-29
0,260.00000000,0.781000,,,,0.200000,,,,5250.00,0.96,0.90,-0.197,4.42,2014-05-16
0,260.98000000,0.792000,,,,0.142000,,,,5317.89,0.96,0.97,,4.46,2021-09-20
0,260.70000000,0.775000,,,,0.000000,,,,5250.00,0.96,0.90,-0.197,4.42,2014-08-21
0,934.30000000,2.110000,,,,0.073000,,,,4938.00,5.20,1.44,,3.19,2018-12-06
0,874.77400000,2.180000,,,,0.125000,,,,,5.20,1.82,,,2015-09-03
0,899.00000000,2.200000,,,,0.134000,,,,4978.00,5.20,1.70,1.176,3.16,2014-08-21
0,4.21487000,0.049560,,,,0.099000,,,,5585.57,1.03,0.91,,4.37,2021-09-20
0,4.21500000,0.050201,,,,0.120000,,,,5577.00,0.96,0.94,-0.095,4.34,2014-05-14
0,38.02100000,0.217500,,,,0.140000,,,,5577.00,0.96,0.94,-0.095,4.34,2014-05-14
0,38.09570000,0.215100,,,,0.068000,,,,5585.57,1.03,0.91,,4.37,2021-09-20
0,123.01000000,0.476000,,,,0.350000,,,,5577.00,0.96,0.94,-0.095,4.34,2014-05-14
0,763.00000000,1.900000,,,,0.140000,,,,4792.00,2.30,1.52,1.053,3.25,2014-05-14
0,735.10000000,1.758000,,,,0.060000,,,,4826.00,4.87,1.34,1.063,3.19,2019-10-24
0,796.00000000,1.930000,,,,0.220000,,,,4794.52,4.91,,,,2015-10-22
0,996.00000000,2.153000,,,,0.080000,,,,4826.00,4.87,1.34,1.063,3.19,2019-10-24
0,116.68840000,0.484000,,2380.45000,,0.400700,,,,5545.00,,1.11,,4.07,2014-05-14
0,116.68900000,0.456000,,,,0.397000,,,,,,,,,2014-08-21
0,116.69260000,0.481000,,,,0.399000,,,,5439.00,1.94,1.09,0.451,3.90,2015-04-24
0,116.69335000,0.476500,,,,0.398900,,,,5481.86,1.92,1.06,,3.89,2021-09-20
0,116.68840000,0.480000,,,,0.400000,,,,5531.00,1.84,1.14,,3.97,2018-09-06
0,116.68800000,0.481000,,,,0.398800,,,,5495.00,1.89,1.09,,3.95,2018-12-06
0,691.90000000,2.100000,,,,0.117000,,,,4846.00,10.50,2.49,1.730,2.63,2015-09-03
0,93.40000000,0.490000,,,,0.060000,,,,4847.00,10.30,1.44,,2.57,2018-09-06
0,93.40000000,0.490000,,,,0.060000,,,,4847.40,9.90,1.80,,2.57,2015-10-15
0,,2.170000,,,,,,,,,,1.60,,,2014-07-23
0,952.70000000,2.500000,,,,0.206000,,,,4785.00,11.00,2.40,1.778,2.35,2014-05-14
0,181.40000000,0.700000,,,,0.027000,,,,4665.00,11.00,1.40,,2.52,2014-05-14
0,,93.900000,,2860.45566,,0.400000,,,,9770.00,,2.40,1.771,,2022-04-12
0,,260.000000,,4290.50000,,,,,,,,,,,2014-05-14
0,8.46300000,,,11.70000,0.97000,0.040000,,,,3700.00,0.75,0.50,-1.046,4.39,2022-05-09
0,,,4.027,,,,76.64,755,,3588.00,0.70,,,4.60,2022-08-10
0,8.46300000,0.064500,4.070,17.00000,1.40000,0.000000,,593,0.1800,3700.00,0.75,0.50,,,2021-08-09
0,8.46321000,,,17.10000,1.30000,,,,,3700.00,0.75,0.50,-1.046,4.39,2022-01-31
0,8.46299910,0.064500,,20.12000,1.32000,0.186000,,,,,,0.50,,,2022-05-09
0,8.46321000,0.066000,4.203,,4.40000,0.100000,,,0.1600,3700.00,0.75,0.50,-1.046,,2020-06-24
0,8.46300040,0.064400,4.190,,,0.120000,,,0.2600,,0.75,,,,2022-05-09
0,18.85901900,,,22.20000,3.66000,0.041000,,,,3700.00,0.75,0.50,-1.046,4.39,2022-05-09
0,18.85898200,0.110000,2.790,,,0.130000,,,0.3000,,0.75,,,,2022-05-09
0,18.85899100,0.110100,,9.60000,1.22000,,,,,,,0.50,,,2022-05-09
0,18.85901900,0.110100,3.240,13.60000,2.30000,0.000000,,454,0.5100,3700.00,0.75,0.50,,,2021-08-10
0,481.90000000,1.300000,,,,0.200000,,,,4095.00,32.35,1.14,2.700,1.89,2017-06-15
0,268.94000000,0.780000,,,,0.290000,,,,4864.00,0.86,0.49,,4.26,2018-09-06
0,268.94000000,0.777000,,,,0.290000,,,,5008.00,0.95,0.86,-0.320,4.60,2014-05-14
0,153.22000000,0.576000,,,,0.001000,,,,4649.00,8.95,1.08,1.570,2.61,2016-02-04
0,137.48000000,0.539000,,,,0.260000,,,,4796.00,14.70,1.10,2.010,2.80,2014-05-14
0,379.63000000,1.050000,,,,0.150000,,,,4259.00,71.02,10.83,,1.77,2018-09-06
0,379.63000000,1.450000,,,,0.150000,,,,4137.00,49.00,2.80,3.170,1.51,2014-05-14
0,621.99000000,2.010000,,,,0.180000,,,,4137.00,49.00,2.80,3.170,1.51,2014-05-14
0,578.20000000,1.300000,,,,0.210000,,,,4296.00,17.30,0.80,1.960,1.99,2015-09-18
0,41.68864400,,2.355,,,,,,,5703.00,0.96,0.96,,4.38,2018-02-15
0,41.68550000,0.241000,2.230,16.30000,7.89000,0.000000,,546,,5766.00,0.93,0.96,-0.056,4.50,2016-07-28
0,41.68550000,,2.578,22.24810,,0.000000,,,,5766.00,1.08,1.67,,4.50,2018-04-26
0,307.88000000,0.830000,,,,0.120000,,,,5004.00,,0.81,,4.22,2021-05-28
0,392.60000000,1.000000,,,,0.200000,,,,4414.00,11.00,0.74,1.690,2.24,2015-08-13
0,733.00000000,1.700000,,,,0.760000,,,,4534.00,10.33,1.09,1.640,2.48,2018-02-01
0,2590.00000000,4.200000,,,,0.350000,,,,4943.00,7.60,1.52,1.470,2.85,2015-02-05
0,265.59000000,0.780000,,,,0.270000,,,,5012.00,,0.91,,4.09,2021-05-28
0,,1662.000000,14.684,4767.42610,,,,1303,,4993.00,0.80,1.00,0.356,4.55,2022-01-10
0,1198.48000000,2.060000,,,,0.880000,,,,5000.00,,0.82,,4.20,2021-05-28
